"filename", "language", "Markdown", "JavaScript", "XML", "HTML", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\1\Desktop\LMS-UI\src\blog\common\LoadingScreen.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\1\Desktop\LMS-UI\src\blog\common\PostCard.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 6, 68
"c:\Users\1\Desktop\LMS-UI\src\blog\common\Title.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\Users\1\Desktop\LMS-UI\src\blog\posts\Home.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 94
"c:\Users\1\Desktop\LMS-UI\src\blog\posts\PostSingle.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\1\Desktop\LMS-UI\src\blog\posts\PostSingle.js", "JavaScript", 0, 322, 0, 0, 0, 0, 0, 8, 330
"c:\Users\1\Desktop\LMS-UI\src\blog\posts\PostsArchieve.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 3, 39
"c:\Users\1\Desktop\LMS-UI\src\blog\utils\Api.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 2, 44
"c:\Users\1\Desktop\LMS-UI\src\blog\utils\Config.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\1\Desktop\LMS-UI\src\blog\utils\utils.js", "JavaScript", 0, 90, 0, 0, 0, 0, 2, 4, 96
"c:\Users\1\Desktop\LMS-UI\src\contexts\CurrentUserContext.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 6, 57
"c:\Users\1\Desktop\LMS-UI\src\index.css", "CSS", 0, 0, 0, 0, 52, 0, 0, 2, 54
"c:\Users\1\Desktop\LMS-UI\src\index.js", "JavaScript", 0, 20, 0, 0, 0, 0, 3, 4, 27
"c:\Users\1\Desktop\LMS-UI\src\pages\ExtraPages\ContactUs.js", "JavaScript", 0, 240, 0, 0, 0, 0, 0, 9, 249
"c:\Users\1\Desktop\LMS-UI\src\pages\ExtraPages\Loading.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\1\Desktop\LMS-UI\src\pages\ExtraPages\NoMatch.js", "JavaScript", 0, 225, 0, 0, 0, 0, 0, 6, 231
"c:\Users\1\Desktop\LMS-UI\src\pages\ExtraPages\PrivacyPolicy.js", "JavaScript", 0, 203, 0, 0, 0, 0, 0, 7, 210
"c:\Users\1\Desktop\LMS-UI\src\pages\ExtraPages\TermsOfService.js", "JavaScript", 0, 215, 0, 0, 0, 0, 0, 6, 221
"c:\Users\1\Desktop\LMS-UI\src\pages\aboutus\AboutUs.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 1, 33
"c:\Users\1\Desktop\LMS-UI\src\pages\aboutus\Group.js", "JavaScript", 0, 177, 0, 0, 0, 0, 3, 4, 184
"c:\Users\1\Desktop\LMS-UI\src\pages\aboutus\Stuff.js", "JavaScript", 0, 175, 0, 0, 0, 0, 6, 7, 188
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\Academy.js", "JavaScript", 0, 193, 0, 0, 0, 0, 6, 9, 208
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\ChangePassword.js", "JavaScript", 0, 314, 0, 0, 0, 0, 9, 8, 331
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\EditProfile.js", "JavaScript", 0, 301, 0, 0, 0, 0, 8, 8, 317
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\Navbar\Navbar.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 5, 94
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\UserPanel.css", "CSS", 0, 0, 0, 0, 30, 0, 1, 4, 35
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\becomeTeacher\BecomeTeacher.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 1, 60
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\certificates\CertificateSingle.js", "JavaScript", 0, 257, 0, 0, 0, 0, 0, 8, 265
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\certificates\MyCertificates.js", "JavaScript", 0, 179, 0, 0, 0, 0, 0, 4, 183
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\comments\AllComments.js", "JavaScript", 0, 159, 0, 0, 0, 0, 0, 4, 163
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\AccardeonRows.js", "JavaScript", 0, 351, 0, 0, 0, 0, 0, 5, 356
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\OverLayComponent.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 2, 75
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\UserDashboard.js", "JavaScript", 0, 328, 0, 0, 0, 0, 35, 3, 366
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\certif.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\cours.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\edit-image.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\edit-profile.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
